timestamp,percentageNow,timeFuture,percentageFuture
2025-12-18T13:26:03.642Z,47.22656394845787%,2025-12-18T15:16:03.642Z,56.57236656552607%
2025-12-18T13:26:07.822Z,47.22656394845787%,2025-12-18T15:16:07.822Z,56.57236656552607%
2025-12-18T13:36:03.731Z,47.22656394845787%,2025-12-18T15:26:03.731Z,56.57236656552607%
2025-12-18T13:46:03.736Z,47.22656394845787%,2025-12-18T15:36:03.736Z,56.57236656552607%
2025-12-18T13:56:03.764Z,47.22656394845787%,2025-12-18T15:46:03.764Z,56.57236656552607%
2025-12-18T14:06:03.767Z,47.22656394845787%,2025-12-18T15:56:03.767Z,56.57236656552607%
2025-12-18T14:16:03.771Z,47.22656394845787%,2025-12-18T16:06:03.771Z,56.57236656552607%
2025-12-18T14:26:03.773Z,47.22656394845787%,2025-12-18T16:16:03.773Z,56.57236656552607%
2025-12-18T14:36:03.778Z,47.22656394845787%,2025-12-18T16:26:03.778Z,56.57236656552607%
2025-12-18T14:46:03.781Z,47.22656394845787%,2025-12-18T16:36:03.781Z,56.57236656552607%
2025-12-18T14:56:03.784Z,47.22656394845787%,2025-12-18T16:46:03.784Z,56.57236656552607%
2025-12-18T15:06:03.790Z,47.22656394845787%,2025-12-18T16:56:03.790Z,56.57236656552607%
2025-12-18T15:16:03.794Z,47.22656394845787%,2025-12-18T17:06:03.794Z,56.57236656552607%
2025-12-18T15:26:03.808Z,47.22656394845787%,2025-12-18T17:16:03.808Z,56.57236656552607%
2025-12-18T15:36:03.804Z,47.22656394845787%,2025-12-18T17:26:03.804Z,56.57236656552607%
2025-12-18T15:46:03.809Z,47.22656394845787%,2025-12-18T17:36:03.809Z,56.57236656552607%
2025-12-18T15:56:03.813Z,47.22656394845787%,2025-12-18T17:46:03.813Z,56.57236656552607%
2025-12-18T16:06:03.820Z,47.22656394845787%,2025-12-18T17:56:03.820Z,56.57236656552607%
2025-12-18T16:16:03.823Z,47.22656394845787%,2025-12-18T18:06:03.823Z,56.57236656552607%
2025-12-18T16:26:03.828Z,47.22656394845787%,2025-12-18T18:16:03.828Z,56.57236656552607%
2025-12-18T16:36:03.832Z,47.22656394845787%,2025-12-18T18:26:03.832Z,56.57236656552607%
2025-12-18T16:46:03.838Z,47.22656394845787%,2025-12-18T18:36:03.838Z,56.57236656552607%
