Total_Obs,Day_Obs,Date,Time,Heart.Rate,Max_70_perc
139292,1,2025-07-03,00:00:00,57,136.5
139293,2,2025-07-03,00:00:10,57,136.5
139294,3,2025-07-03,00:00:20,58,136.5
139295,4,2025-07-03,00:00:25,61,136.5
139296,5,2025-07-03,00:00:30,62,136.5
139297,6,2025-07-03,00:00:40,63,136.5
139298,7,2025-07-03,00:00:50,66,136.5
139299,8,2025-07-03,00:00:55,63,136.5
139300,9,2025-07-03,00:01:00,62,136.5
139301,10,2025-07-03,00:01:05,59,136.5
139302,11,2025-07-03,00:01:15,58,136.5
139303,12,2025-07-03,00:01:20,58,136.5
139304,13,2025-07-03,00:01:25,59,136.5
139305,14,2025-07-03,00:01:40,59,136.5
139306,15,2025-07-03,00:01:45,57,136.5
139307,16,2025-07-03,00:01:51,57,136.5
139308,17,2025-07-03,00:01:56,58,136.5
139309,18,2025-07-03,00:02:01,57,136.5
139310,19,2025-07-03,00:02:06,58,136.5
139311,20,2025-07-03,00:02:21,59,136.5
139312,21,2025-07-03,00:02:26,60,136.5
139313,22,2025-07-03,00:02:31,62,136.5
139314,23,2025-07-03,00:02:41,61,136.5
139315,24,2025-07-03,00:02:46,60,136.5
139316,25,2025-07-03,00:03:01,58,136.5
139317,26,2025-07-03,00:03:06,57,136.5
139318,27,2025-07-03,00:03:11,56,136.5
139319,28,2025-07-03,00:03:21,57,136.5
139320,29,2025-07-03,00:03:26,61,136.5
139321,30,2025-07-03,00:03:31,62,136.5
139322,31,2025-07-03,00:03:36,61,136.5
139323,32,2025-07-03,00:03:41,62,136.5
139324,33,2025-07-03,00:03:46,60,136.5
139325,34,2025-07-03,00:03:51,59,136.5
139326,35,2025-07-03,00:03:56,59,136.5
139327,36,2025-07-03,00:04:01,58,136.5
139328,37,2025-07-03,00:04:11,57,136.5
139329,38,2025-07-03,00:04:21,56,136.5
139330,39,2025-07-03,00:04:26,55,136.5
139331,40,2025-07-03,00:04:31,56,136.5
139332,41,2025-07-03,00:04:36,55,136.5
139333,42,2025-07-03,00:04:41,56,136.5
139334,43,2025-07-03,00:04:46,56,136.5
139335,44,2025-07-03,00:04:51,58,136.5
139336,45,2025-07-03,00:04:56,61,136.5
139337,46,2025-07-03,00:05:01,60,136.5
139338,47,2025-07-03,00:05:16,60,136.5
139339,48,2025-07-03,00:05:26,57,136.5
139340,49,2025-07-03,00:05:36,56,136.5
139341,50,2025-07-03,00:05:41,56,136.5
139342,51,2025-07-03,00:05:46,56,136.5
139343,52,2025-07-03,00:05:51,57,136.5
139344,53,2025-07-03,00:05:56,58,136.5
139345,54,2025-07-03,00:06:01,59,136.5
139346,55,2025-07-03,00:06:16,59,136.5
139347,56,2025-07-03,00:06:26,58,136.5
139348,57,2025-07-03,00:06:31,57,136.5
139349,58,2025-07-03,00:06:36,56,136.5
139350,59,2025-07-03,00:06:51,56,136.5
139351,60,2025-07-03,00:07:01,55,136.5
139352,61,2025-07-03,00:07:06,56,136.5
139353,62,2025-07-03,00:07:11,57,136.5
139354,63,2025-07-03,00:07:21,58,136.5
139355,64,2025-07-03,00:07:26,59,136.5
139356,65,2025-07-03,00:07:41,60,136.5
139357,66,2025-07-03,00:07:56,59,136.5
139358,67,2025-07-03,00:08:01,57,136.5
139359,68,2025-07-03,00:08:06,57,136.5
139360,69,2025-07-03,00:08:21,57,136.5
139361,70,2025-07-03,00:08:26,57,136.5
139362,71,2025-07-03,00:08:31,56,136.5
139363,72,2025-07-03,00:08:46,56,136.5
139364,73,2025-07-03,00:09:01,56,136.5
139365,74,2025-07-03,00:09:06,57,136.5
139366,75,2025-07-03,00:09:16,57,136.5
139367,76,2025-07-03,00:09:31,58,136.5
139368,77,2025-07-03,00:09:36,59,136.5
139369,78,2025-07-03,00:09:51,59,136.5
139370,79,2025-07-03,00:09:56,61,136.5
139371,80,2025-07-03,00:10:01,62,136.5
139372,81,2025-07-03,00:10:06,60,136.5
139373,82,2025-07-03,00:10:11,58,136.5
139374,83,2025-07-03,00:10:16,57,136.5
139375,84,2025-07-03,00:10:21,56,136.5
139376,85,2025-07-03,00:10:31,57,136.5
139377,86,2025-07-03,00:10:36,58,136.5
139378,87,2025-07-03,00:10:46,58,136.5
139379,88,2025-07-03,00:10:51,57,136.5
139380,89,2025-07-03,00:10:56,57,136.5
139381,90,2025-07-03,00:11:06,57,136.5
139382,91,2025-07-03,00:11:21,57,136.5
139383,92,2025-07-03,00:11:31,58,136.5
139384,93,2025-07-03,00:11:36,57,136.5
139385,94,2025-07-03,00:11:41,56,136.5
139386,95,2025-07-03,00:11:46,56,136.5
139387,96,2025-07-03,00:11:52,56,136.5
139388,97,2025-07-03,00:11:57,56,136.5
139389,98,2025-07-03,00:12:12,56,136.5
139390,99,2025-07-03,00:12:22,60,136.5
139391,100,2025-07-03,00:12:27,62,136.5
139392,101,2025-07-03,00:12:42,62,136.5
139393,102,2025-07-03,00:12:57,61,136.5
139394,103,2025-07-03,00:13:02,60,136.5
139395,104,2025-07-03,00:13:07,60,136.5
139396,105,2025-07-03,00:13:22,60,136.5
139397,106,2025-07-03,00:13:37,60,136.5
139398,107,2025-07-03,00:13:52,60,136.5
139399,108,2025-07-03,00:14:02,59,136.5
139400,109,2025-07-03,00:14:07,60,136.5
139401,110,2025-07-03,00:14:17,61,136.5
139402,111,2025-07-03,00:14:27,62,136.5
139403,112,2025-07-03,00:14:37,61,136.5
139404,113,2025-07-03,00:14:42,59,136.5
139405,114,2025-07-03,00:14:47,58,136.5
139406,115,2025-07-03,00:14:52,57,136.5
139407,116,2025-07-03,00:15:07,57,136.5
139408,117,2025-07-03,00:15:22,57,136.5
139409,118,2025-07-03,00:15:37,57,136.5
139410,119,2025-07-03,00:15:42,55,136.5
139411,120,2025-07-03,00:15:47,54,136.5
139412,121,2025-07-03,00:15:52,53,136.5
139413,122,2025-07-03,00:16:07,54,136.5
139414,123,2025-07-03,00:16:12,54,136.5
139415,124,2025-07-03,00:16:27,55,136.5
139416,125,2025-07-03,00:16:32,56,136.5
139417,126,2025-07-03,00:16:47,56,136.5
139418,127,2025-07-03,00:17:02,56,136.5
139419,128,2025-07-03,00:17:07,55,136.5
139420,129,2025-07-03,00:17:22,56,136.5
139421,130,2025-07-03,00:17:27,58,136.5
139422,131,2025-07-03,00:17:37,59,136.5
139423,132,2025-07-03,00:17:42,61,136.5
139424,133,2025-07-03,00:17:47,66,136.5
139425,134,2025-07-03,00:17:52,65,136.5
139426,135,2025-07-03,00:17:57,63,136.5
139427,136,2025-07-03,00:18:02,61,136.5
139428,137,2025-07-03,00:18:12,60,136.5
139429,138,2025-07-03,00:18:22,61,136.5
139430,139,2025-07-03,00:18:27,60,136.5
139431,140,2025-07-03,00:18:37,58,136.5
139432,141,2025-07-03,00:18:42,56,136.5
139433,142,2025-07-03,00:18:47,56,136.5
139434,143,2025-07-03,00:18:52,57,136.5
139435,144,2025-07-03,00:18:57,56,136.5
139436,145,2025-07-03,00:19:02,56,136.5
139437,146,2025-07-03,00:19:12,58,136.5
139438,147,2025-07-03,00:19:17,60,136.5
139439,148,2025-07-03,00:19:22,60,136.5
139440,149,2025-07-03,00:19:37,61,136.5
139441,150,2025-07-03,00:19:42,61,136.5
139442,151,2025-07-03,00:19:52,60,136.5
139443,152,2025-07-03,00:20:07,60,136.5
139444,153,2025-07-03,00:20:17,59,136.5
139445,154,2025-07-03,00:20:22,58,136.5
139446,155,2025-07-03,00:20:27,58,136.5
139447,156,2025-07-03,00:20:37,59,136.5
139448,157,2025-07-03,00:20:42,62,136.5
139449,158,2025-07-03,00:20:47,68,136.5
